X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
5,4,sep,fri,90.3,290,855.3,7.4,16.2,58,3.6,0,0
8,6,aug,mon,92.1,207,672.6,8.2,25.5,29,1.8,0,1.23
6,5,apr,mon,87.9,24.9,41.6,3.7,10.9,64,3.1,0,3.35
1,2,jul,fri,90.7,80.9,368.3,16.8,14.8,78,8,0,0
2,5,sep,fri,90.3,290,855.3,7.4,16.2,58,3.6,0,9.96
5,5,aug,sun,94,47.9,100.7,10.7,17.3,80,4.5,0,0
6,5,aug,sun,92,203.2,664.5,8.1,19.1,70,2.2,0,0
3,4,mar,wed,93.4,17.3,28.3,9.9,8.9,35,8,0,0
7,4,sep,wed,89.7,284.9,844,10.1,10.5,77,4,0,0
7,4,aug,sun,91.6,181.3,613,7.6,19.3,61,4.9,0,0
4,5,aug,wed,95.2,217.7,690,18,23.4,49,5.4,0,6.43
1,4,aug,fri,90.5,196.8,649.9,16.3,11.8,88,4.9,0,9.71
7,4,aug,mon,91.5,238.2,730.6,7.5,17.7,65,4,0,0
4,5,aug,thu,89.4,266.2,803.3,5.6,17.4,54,3.1,0,0
3,4,aug,thu,91.6,248.4,753.8,6.3,16.8,56,3.1,0,0
3,4,jul,mon,94.6,160,567.2,16.7,17.9,48,2.7,0,0
2,4,aug,thu,91.6,248.4,753.8,6.3,16.6,59,2.7,0,0
1,4,aug,wed,91.7,191.4,635.9,7.8,19.9,50,4,0,82.75
8,6,aug,sat,93.7,231.1,715.1,8.4,18.9,64,4.9,0,3.32
7,4,aug,sat,91.6,273.8,819.1,7.7,15.5,72,8,0,1.94
2,5,aug,sat,93.7,231.1,715.1,8.4,18.9,64,4.9,0,0
8,6,aug,sat,93.7,231.1,715.1,8.4,18.9,64,4.9,0,0
1,4,sep,sun,91,276.3,825.1,7.1,14.5,76,7.6,0,3.71
6,5,feb,tue,75.1,4.4,16.2,1.9,4.6,82,6.3,0,5.39
6,4,feb,tue,75.1,4.4,16.2,1.9,5.1,77,5.4,0,2.14
2,2,feb,sat,79.5,3.6,15.3,1.8,4.6,59,0.9,0,6.84
6,5,mar,mon,87.2,15.1,36.9,7.1,10.2,45,5.8,0,3.18
3,4,mar,wed,90.2,18.5,41.1,7.3,11.2,41,5.4,0,5.55
6,5,mar,thu,91.3,20.6,43.5,8.5,13.3,27,3.6,0,6.61
6,3,apr,sun,91,14.6,25.6,12.3,13.7,33,9.4,0,61.13
5,4,apr,sun,91,14.6,25.6,12.3,17.6,27,5.8,0,0
4,3,may,fri,89.6,25.4,73.7,5.7,18,40,4,0,38.48
8,3,jun,mon,88.2,96.2,229,4.7,14.3,79,4,0,1.94
9,4,jun,sat,90.5,61.1,252.6,9.4,24.5,50,3.1,0,70.32
4,3,jun,thu,93,103.8,316.7,10.8,26.4,35,2.7,0,10.08
2,5,jun,thu,93.7,121.7,350.2,18,22.7,40,9.4,0,3.19
4,3,jul,thu,93.5,85.3,395,9.9,27.2,28,1.3,0,1.76
4,3,jul,sun,93.7,101.3,423.4,14.7,26.1,45,4,0,7.36
7,4,jul,sun,93.7,101.3,423.4,14.7,18.2,82,4.5,0,2.21
7,4,jul,mon,89.2,103.9,431.6,6.4,22.6,57,4.9,0,278.53
9,9,jul,thu,93.2,114.4,560,9.5,30.2,25,4.5,0,2.75
4,3,jul,thu,93.2,114.4,560,9.5,30.2,22,4.9,0,0
3,4,aug,sun,94.9,130.3,587.1,14.1,23.4,40,5.8,0,1.29
8,6,aug,sun,94.9,130.3,587.1,14.1,31,27,5.4,0,0
2,5,aug,sun,94.9,130.3,587.1,14.1,33.1,25,4,0,26.43
2,4,aug,mon,95,135.5,596.3,21.3,30.6,28,3.6,0,2.07
5,4,aug,tue,95.1,141.3,605.8,17.7,24.1,43,6.3,0,2
5,4,aug,tue,95.1,141.3,605.8,17.7,26.4,34,3.6,0,16.4
4,4,aug,tue,95.1,141.3,605.8,17.7,19.4,71,7.6,0,46.7
4,4,aug,wed,95.1,141.3,605.8,17.7,20.6,58,1.3,0,0
4,4,aug,wed,95.1,141.3,605.8,17.7,28.7,33,4,0,0
4,4,aug,thu,95.8,152,624.1,13.8,32.4,21,4.5,0,0
1,3,aug,fri,95.9,158,633.6,11.3,32.4,27,2.2,0,0
1,3,aug,fri,95.9,158,633.6,11.3,27.5,29,4.5,0,43.32
6,6,aug,sat,96,164,643,14,30.8,30,4.9,0,8.59
6,6,aug,mon,96.2,175.5,661.8,16.8,23.9,42,2.2,0,0
4,5,aug,mon,96.2,175.5,661.8,16.8,32.6,26,3.1,0,2.77
3,4,aug,tue,96.1,181.1,671.2,14.3,32.3,27,2.2,0,14.68
6,5,aug,tue,96.1,181.1,671.2,14.3,33.3,26,2.7,0,40.54
7,5,aug,tue,96.1,181.1,671.2,14.3,27.3,63,4.9,6.4,10.82
8,6,aug,tue,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,0
7,5,aug,tue,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,0
4,4,aug,tue,96.1,181.1,671.2,14.3,20.7,69,4.9,0.4,0
2,4,aug,wed,94.5,139.4,689.1,20,29.2,30,4.9,0,1.95
4,3,aug,wed,94.5,139.4,689.1,20,28.9,29,4.9,0,49.59
1,2,aug,thu,91,163.2,744.4,10.1,26.7,35,1.8,0,5.8
1,2,aug,fri,91,166.9,752.6,7.1,18.5,73,8.5,0,0
2,4,aug,fri,91,166.9,752.6,7.1,25.9,41,3.6,0,0
1,2,aug,fri,91,166.9,752.6,7.1,25.9,41,3.6,0,0
5,4,aug,fri,91,166.9,752.6,7.1,21.1,71,7.6,1.4,2.17
6,5,aug,fri,91,166.9,752.6,7.1,18.2,62,5.4,0,0.43
8,6,aug,sun,81.6,56.7,665.6,1.9,27.8,35,2.7,0,0
4,3,aug,sun,81.6,56.7,665.6,1.9,27.8,32,2.7,0,6.44
2,4,aug,sun,81.6,56.7,665.6,1.9,21.9,71,5.8,0,54.29
7,4,aug,sun,81.6,56.7,665.6,1.9,21.2,70,6.7,0,11.16
1,4,aug,sat,94.4,146,614.7,11.3,25.6,42,4,0,0
6,3,nov,tue,79.5,3,106.7,1.1,11.8,31,4.5,0,0
